indx,low_human_imp,ag_dens_fz,rd_dens_fz
0.0,0.08271858215333339,0.98414380830816,0.08271858215333339
1.0,0.30594242522000004,1.0,0.30594242522000004
2.0,-0.5321321111866668,0.552479936216,-0.5321321111866668
3.0,0.2793865868733333,1.0,0.2793865868733333
4.0,-0.00809008138666667,0.282091452632,-0.00809008138666667
5.0,-0.7880644550733333,0.8887510336860001,-0.7880644550733333
6.0,0.19988110920666669,0.98570096776216,0.19988110920666669
7.0,0.25331319042,1.0,0.25331319042
8.0,-0.5225533257199999,0.549957048172,-0.5225533257199999
9.0,-0.8061764556466666,0.8800749999999999,-0.8061764556466666
10.0,-0.11253257019999996,0.9901,-0.11253257019999996
11.0,0.6008619419853334,1.0,0.6008619419853334
12.0,-1.0,-0.991521534084,-1.0
13.0,-0.7232281731866665,0.2966500000000001,-0.7232281731866665
14.0,0.5361549115119999,0.9991,0.5361549115119999
15.0,0.37154112860800004,1.0,0.37154112860800004
16.0,0.9580144583540666,1.0,0.9580144583540666
17.0,-1.0,-1.0,-0.014305324526666663
18.0,-0.6420500366599999,0.68455,-0.6420500366599999
19.0,-0.3812153126733333,0.83755,-0.3812153126733333
20.0,0.77015464954,1.0,0.77015464954
21.0,1.0,1.0,1.0
22.0,1.0,1.0,1.0
23.0,0.6575415667373334,1.0,0.6575415667373334
24.0,0.47575107202133327,0.98509008014512,0.47575107202133327
25.0,-1.0,-1.0,-0.6007617543866666
26.0,-1.0,-1.0,-0.6486452791933335
27.0,-0.9660267850266668,0.03969999999999996,-0.9660267850266668
28.0,0.7287393460173333,0.998875,0.7287393460173333
29.0,0.6216200740846667,1.0,0.6216200740846667
30.0,0.362211225544,1.0,0.362211225544
31.0,0.5170673798886667,1.0,0.5170673798886667
32.0,1.0,1.0,1.0
33.0,0.797221572496,0.99443556385208,0.797221572496
34.0,-1.0,-1.0,-0.2109939625066668
35.0,-1.0,-1.0,-0.2828029295600001
36.0,-1.0,-1.0,-0.3159683710333334
37.0,0.5220092216193333,0.730675,0.5220092216193333
38.0,0.855752106858,1.0,0.855752106858
39.0,0.8465825073793334,1.0,0.8465825073793334
40.0,0.43375071257,1.0,0.43375071257
41.0,0.20941910534666663,1.0,0.20941910534666663
42.0,-1.0,-1.0,0.20276521727999997
43.0,-1.0,-1.0,0.06722495942666662
44.0,-1.0,-1.0,-0.2279690959466667
45.0,-1.0,-1.0,-0.28731414658
46.0,0.7486678115406666,0.970525,0.7486678115406666
47.0,0.5958373480800001,1.0,0.5958373480800001
48.0,0.5277558234673334,1.0,0.5277558234673334
49.0,0.24302330949999995,1.0,0.24302330949999995
50.0,0.6243326468593333,1.0,0.6243326468593333
51.0,-0.9565999999999999,-0.9565999999999999,0.20821260924666662
52.0,-1.0,-1.0,0.27137505702666676
53.0,-1.0,-1.0,-0.5494114806466666
54.0,-1.0,-1.0,0.13256989536666663
55.0,0.09312176816000006,0.732475,0.09312176816000006
56.0,0.6094823140693333,0.99235,0.6094823140693333
57.0,0.6087924782973333,1.0,0.6087924782973333
58.0,0.6350032984180001,1.0,0.6350032984180001
59.0,1.0,1.0,1.0
60.0,0.8584088248993333,1.0,0.8584088248993333
61.0,0.39295,0.39295,0.403067055058
62.0,-1.0,-1.0,0.29187579710666667
63.0,-1.0,-1.0,0.1307178698200001
64.0,-1.0,-1.0,0.11453477679333324
65.0,-1.0,-1.0,0.09356895337333337
66.0,0.5865389371859999,0.969625,0.5865389371859999
67.0,0.30508193795999994,1.0,0.30508193795999994
68.0,-0.16992275472666662,1.0,-0.16992275472666662
69.0,-0.11141720918000009,1.0,-0.11141720918000009
70.0,-0.6293450646200001,0.94825,-0.6293450646200001
71.0,-0.6670249999999998,-0.6670249999999998,-0.6032463383733333
72.0,-1.0,-1.0,-0.8178180422533332
73.0,-1.0,-0.6242750000000001,-1.0
74.0,-1.0,-1.0,-0.9980479144533334
75.0,-1.0,0.8962749999999999,-1.0
76.0,-0.30745588246,1.0,-0.30745588246
77.0,0.1576205943533333,1.0,0.1576205943533333
78.0,1.0,1.0,1.0
79.0,0.764798134452,1.0,0.764798134452
80.0,0.08046711999333322,1.0,0.08046711999333322
81.0,-0.2766757707933334,0.612325,-0.2766757707933334
82.0,-1.0,-1.0,0.1626251967333333
83.0,-1.0,-1.0,-0.45429887339999997
84.0,-1.0,-1.0,0.2324739114533334
85.0,0.001900877533333234,0.33310000000000006,0.001900877533333234
86.0,0.6444373463553332,1.0,0.6444373463553332
87.0,-1.0,1.0,-1.0
88.0,1.0,1.0,1.0
89.0,0.6984808471073334,1.0,0.6984808471073334
90.0,0.6319672582446667,1.0,0.6319672582446667
91.0,0.029205268680000063,0.996625,0.029205268680000063
92.0,-0.40583311132666666,-0.1047499999999999,-0.40583311132666666
93.0,-1.0,-1.0,-0.26561650746666676
94.0,-1.0,-1.0,0.1313513482666666
95.0,-0.46475,-0.46475,0.2856141681266666
96.0,0.17744546791333338,0.99876269941276,0.17744546791333338
97.0,1.0,1.0,1.0
98.0,1.0,1.0,1.0
99.0,0.7280590973786667,1.0,0.7280590973786667
100.0,0.9486160939304666,1.0,0.9486160939304666
101.0,0.835667554068,1.0,0.835667554068
102.0,0.2863208177533334,0.837325,0.2863208177533334
103.0,0.8491958743312,0.8491958743312,0.850037478228
104.0,-1.0,-1.0,0.049651804253333265
105.0,-0.23188433191200009,-0.23188433191200009,0.0064632399466666435
106.0,0.28138631905333333,0.7746198463004,0.28138631905333333
107.0,1.0,1.0,1.0
108.0,1.0,1.0,1.0
109.0,0.80428228816,1.0,0.80428228816
110.0,0.5960022141766668,1.0,0.5960022141766668
111.0,0.10157669008000003,1.0,0.10157669008000003
112.0,0.7163599756079999,1.0,0.7163599756079999
113.0,1.0,1.0,1.0
114.0,-0.7871664087133334,-0.4562531854159999,-0.7871664087133334
115.0,-0.9671968037080001,-0.9671968037080001,0.34441084600000005
116.0,1.0,1.0,1.0
117.0,0.8629915608913333,1.0,0.8629915608913333
118.0,0.457051263516,1.0,0.457051263516
119.0,0.521817330158,1.0,0.521817330158
120.0,0.3998143518713334,1.0,0.3998143518713334
121.0,0.1917785377733333,1.0,0.1917785377733333
122.0,0.24275712442000008,1.0,0.24275712442000008
123.0,-0.23536475880666674,1.0,-0.23536475880666674
124.0,-0.992747038896,-0.992747038896,-0.2229935229333333
125.0,-1.0,-1.0,0.04111705303999991
126.0,-0.7191904463599998,-0.7191904463599998,-0.3051285726199999
127.0,1.0,1.0,1.0
128.0,0.28792912933333337,1.0,0.28792912933333337
129.0,0.3959642807993333,1.0,0.3959642807993333
130.0,-0.039868078226666714,1.0,-0.039868078226666714
131.0,-0.6254811218266667,1.0,-0.6254811218266667
132.0,-0.06496717314000011,0.997667483714824,-0.06496717314000011
133.0,-1.0,-1.0,0.1400424557733334
134.0,-1.0,-1.0,0.21614174685999998
135.0,-1.0,-1.0,1.0
136.0,0.13069141193333333,1.0,0.13069141193333333
137.0,0.1916642406200001,1.0,0.1916642406200001
138.0,1.0,1.0,1.0
139.0,-0.6532831191733333,0.98752057471376,-0.6532831191733333
140.0,-1.0,-1.0,0.13375099717999994
141.0,-1.0,-1.0,0.30006335322
142.0,-1.0,-1.0,1.0
143.0,-1.0,0.99251082301556,-1.0
144.0,-0.477125,-0.477125,0.23531536625333338
145.0,-1.0,-1.0,0.3211724450800001
146.0,-1.0,-1.0,-0.30776346536666677
147.0,1.0,1.0,1.0
148.0,-0.04029090799333335,0.976064428878,-0.04029090799333335
149.0,-1.0,-1.0,0.2498590406333333
150.0,-1.0,-1.0,0.2750761809800001
151.0,-1.0,-1.0,-0.09625064944666661
152.0,-0.29468032001333344,1.0,-0.29468032001333344
153.0,-0.3943089093680001,-0.3943089093680001,-0.052556623513333234
154.0,-1.0,-1.0,0.3342385535453333
155.0,-1.0,-1.0,-0.31529011139999996
156.0,1.0,1.0,1.0
157.0,0.31993818976666677,0.96835147985356,0.31993818976666677
158.0,-0.11217499999999991,-0.11217499999999991,0.1139633896533333
159.0,-1.0,-1.0,-0.8338219186266667
160.0,-0.19673873510666673,0.30473263500000003,-0.19673873510666673
161.0,0.23728226961999999,1.0,0.23728226961999999
162.0,0.2226622432066666,0.9154939466,0.2226622432066666
163.0,-1.0,-1.0,-0.07643084106666653
164.0,-1.0,0.04682895972799994,-1.0
165.0,-0.8370460549000001,0.795923879728,-0.8370460549000001
166.0,-1.0,-1.0,-0.024550360159999896
